127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000202
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000179
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000173
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/css/index.css, HTTP/1.1, 200, 0.000187
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/images/newcreate.png, HTTP/1.1, 200, 0.000183
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/default/download/News.image.a12cd59b6b52b95f.6e657773312e6a7067.jpg, HTTP/1.1, 200, 0.044064
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001337
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/js/share.js, HTTP/1.1, 200, 0.000240
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/default/download/News.image.be3928550f86cfae.6e657773382e6a7067.jpg, HTTP/1.1, 200, 0.055957
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/default/download/News.image.8d5444e564b9e2d9.62696762757379322e6a7067.jpg, HTTP/1.1, 200, 0.070849
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/images/favicon.ico, HTTP/1.1, 200, 0.000291
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/default/download/News.image.998bbd7999463258.626967656e746572322e6a7067.jpg, HTTP/1.1, 200, 0.081838
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/default/download/News.image.a2b35f91b6fc2ec6.626967696e746572312e6a7067.jpg, HTTP/1.1, 200, 0.090933
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/default/download/News.image.a3014488844b7f04.6e65777331312e6a7067.jpg, HTTP/1.1, 200, 0.101237
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/images/twitter.png, HTTP/1.1, 200, 0.000292
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/images/facebook.png, HTTP/1.1, 200, 0.000200
127.0.0.1, 2015-11-16 23:07:05, GET, /itproject/static/images/gplus-32.png, HTTP/1.1, 200, 0.000196
127.0.0.1, 2015-11-16 23:07:16, GET, /itproject/default/sports/10, HTTP/1.1, 200, 0.022530
127.0.0.1, 2015-11-16 23:07:16, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000268
127.0.0.1, 2015-11-16 23:07:20, GET, /itproject/default/business, HTTP/1.1, 200, 0.018483
127.0.0.1, 2015-11-16 23:07:20, GET, /itproject/static/js/share.js, HTTP/1.1, 304, 0.000310
